公司名称,公司类型,融资阶段,标签,公司规模,公司所在地,职位类型,学历要求,福利,薪资,工作经验
广州润普网络科技有限公司,企业服务,不需要融资,"['绩效奖金', '年终分红', '午餐补助', '弹性工作']",50-150人,天河区,技术,不限,大型系统架构实战，教练级指导，发展空间大,6k-12k,不限
广东矩阵科技有限公司,其他 移动互联网,未融资,"['人工智能', '产学研企业']",15-50人,天河区,开发/测试/运维类,不限,"发展前景好,培训多,接受实习生,校企合作",8k-10k,1-3年
广州通游宝信息科技有限公司,电子商务,不需要融资,[],15-50人,天河区,开发/测试/运维类,大专,"不加班,上班灵活,福利好,法定节假日",16k-25k,3-5年
广州爱拍网络科技有限公司,文化娱乐,D轮及以上,"['团队牛掰', '企业文化温馨', '绩效奖金丰厚', '内部孵化项目']",150-500人,天河区,开发/测试/运维类,本科,"晋升空间大,五险一金",9k-15k,1-3年
浙江星飞信息技术有限公司,游戏,天使轮,"['年底双薪', '绩效奖金', '股票期权', '午餐补助']",150-500人,天河区,开发/测试/运维类,本科,"双休,餐补,项目多,平台大",15k-25k,1-3年
佛山爱科信息技术有限公司,教育,天使轮,"['年底双薪', '股票期权', '午餐补助', '定期体检']",15-50人,海珠区,开发/测试/运维类,不限,"优秀者转正,氛围好,办公室零食,薪酬福利",2k-3k,应届毕业生
北京启明星辰信息安全技术有限公司,信息安全,上市公司,"['绩效奖金', '专项奖金', '五险一金', '带薪年假']",500-2000人,天河区,开发/测试/运维类,本科,"shell,前端设计",10k-15k,1年以下
上海玩胜网络科技有限公司广州分公司,移动互联网,A轮,"['带薪年假', '交通补助', '专项奖金', '午餐补助']",50-150人,天河区,开发/测试/运维类,本科,"六险一金,季度旅游,各种礼金,扁平管理",10k-18k,1-3年
广东科特森软件股份有限公司,"电子商务,企业服务",未融资,"['五险一金', '带薪年假', '午餐补助', '岗位晋升']",50-150人,天河区,开发/测试/运维类,大专,"薪资福利好,周末双休,交通便利,环境优美",6k-12k,1-3年
广州润普网络科技有限公司,企业服务,不需要融资,"['绩效奖金', '年终分红', '午餐补助', '弹性工作']",50-150人,天河区,技术,不限,小而美，管理成熟，开放文化，技术基因,2k-4k,1年以下
广州动点网络科技有限公司,"移动互联网,电子商务",未融资,"['""""']",150-500人,天河区,开发/测试/运维类,大专,"周末双休,五险一金,节日福利,房补餐补",4k-8k,应届毕业生
上海智展网络技术有限公司,"移动互联网,旅游",A轮,"['年底双薪', '任性CEO', '节日礼金', '期权奖励']",50-150人,海珠区,开发/测试/运维类,不限,"弹性工作,福利齐全,Mac,健身房",8k-16k,不限
广州市菱致计算机科技有限公司,"移动互联网,企业服务",不需要融资,"['""""']",15-50人,海珠区,开发/测试/运维类,不限,非创业公司,10K-18K,1-3年
广州烹茶科技有限公司,"移动互联网,社交网络",天使轮,"['""""']",少于15人,海珠区,开发/测试/运维类,本科,"团队优秀,管理扁平,高期权",15k-22k,3-5年
广州浅蓝信息科技有限公司,移动互联网,天使轮,"['节日礼物', '股票期权', '带薪年假', '扁平管理']",50-150人,番禺区,开发/测试/运维类,不限,"五险一金,扁平管理,带薪年假,弹性工作",10k-20k,1-3年
上海添昌信息科技有限公司,"移动互联网,游戏",不需要融资,[],15-50人,天河区,开发/测试/运维类,本科,"五险一金,员工旅游,节日福利,每年提薪",15k-20k,1-3年
广州荔枝网络有限公司,"移动互联网,文化娱乐",不需要融资,"['绩效奖金', '定期体检', '美女如云', '技术牛人']",150-500人,越秀区,开发/测试/运维类,本科,"发展前景好,团队氛围好,国企背景",6k-10k,1-3年
